 Relationship of the fields ---- field number:
 117
 FID  downstreamFID  Area(ha)  LanduseID  Degree
 1	0	87.84	33	1
 2	1	10.26	16	2
 3	2	79.29	33	3
 4	3	25.47	105	4
 5	4	9.09	1	5
 6	3	36.99	6	4
 7	6	21.06	33	5
 8	6	237.15	33	5
 9	8	10.35	6	6
 10	9	9	33	7
 11	8	16.2	18	6
 12	11	122.94	6	7
 13	12	262.17	33	8
 14	13	13.95	18	9
 15	14	35.91	33	10
 16	13	36.09	6	9
 17	16	12.06	1	10
 18	17	19.17	33	11
 19	18	22.86	6	12
 20	19	16.11	18	13
 21	20	18.36	6	14
 22	21	88.2	33	15
 23	22	18.18	18	16
 24	23	92.88	33	17
 25	24	9.18	105	18
 26	22	10.89	18	16
 27	26	26.91	33	17
 28	22	44.01	6	16
 29	28	93.42	33	17
 30	29	15.12	18	18
 31	30	67.86	33	19
 32	29	11.61	1	18
 33	32	28.44	6	19
 34	33	57.96	33	20
 35	34	13.23	104	21
 36	35	9.81	15	22
 37	34	25.11	1	21
 38	33	21.33	1	20
 39	32	28.08	33	19
 40	20	32.58	33	14
 41	40	23.94	1	15
 42	41	15.48	18	16
 43	42	55.98	33	17
 44	19	132.93	33	13
 45	44	14.58	18	14
 46	45	12.69	33	15
 47	44	37.44	1	14
 48	47	277.2	33	15
 49	48	9.72	104	16
 50	48	27.54	18	16
 51	50	9.54	33	17
 52	48	18.81	104	16
 53	52	12.69	1	17
 54	48	10.53	6	16
 55	48	9.54	18	16
 56	55	30.33	33	17
 57	18	15.75	18	12
 58	16	73.26	105	10
 59	58	36.45	33	11
 60	59	9.09	1	12
 61	60	30.42	33	13
 62	61	10.89	18	14
 63	62	51.57	33	15
 64	59	13.14	6	12
 65	13	12.06	18	9
 66	65	13.5	33	10
 67	66	27.54	6	11
 68	67	33.12	33	12
 69	13	15.84	18	9
 70	69	22.77	33	10
 71	12	37.98	33	8
 72	71	10.53	18	9
 73	72	11.43	33	10
 74	12	10.44	18	8
 75	74	191.97	33	9
 76	75	10.98	104	10
 77	75	13.14	18	10
 78	77	9.99	1	11
 79	75	11.43	6	10
 80	75	9.36	105	10
 81	80	11.52	18	11
 82	81	11.97	33	12
 83	75	10.62	107	10
 84	12	16.65	104	8
 85	12	10.44	33	8
 86	8	9.45	105	6
 87	86	12.06	1	7
 88	87	14.67	18	8
 89	8	34.2	6	6
 90	89	10.26	33	7
 91	90	9.54	18	8
 92	91	24.12	6	9
 93	92	21.51	33	10
 94	89	23.94	33	7
 95	94	21.24	18	8
 96	95	10.35	15	9
 97	96	470.61	33	10
 98	97	9.18	1	11
 99	98	9.99	18	12
 100	97	19.71	18	11
 101	100	10.44	6	12
 102	101	11.79	33	13
 103	100	31.14	33	12
 104	97	21.6	6	11
 105	104	10.98	18	12
 106	105	13.05	33	13
 107	106	12.42	1	14
 108	107	10.62	33	15
 109	108	29.61	1	16
 110	109	175.86	33	17
 111	110	16.11	18	18
 112	111	32.94	33	19
 113	107	14.13	18	15
 114	104	14.49	33	12
 115	114	10.35	104	13
 116	115	15.48	33	14
 117	97	12.24	16	11
