 Relationship of the fields ---- field number:
 25
 FID  downstreamFID  Area(ha)  LanduseID  Degree
 1	0	127.98	33	1
 2	1	17.55	104	2
 3	1	39.51	6	2
 4	3	184.86	33	3
 5	4	12.6	18	4
 6	5	39.33	33	5
 7	6	263.88	1	6
 8	7	112.5	33	7
 9	8	36.36	104	8
 10	8	16.11	18	8
 11	10	11.07	6	9
 12	8	9.27	6	8
 13	7	28.62	6	7
 14	13	35.91	33	8
 15	7	118.26	33	7
 16	15	23.13	18	8
 17	4	9.72	1	4
 18	4	36.54	6	4
 19	18	11.97	33	5
 20	19	38.25	1	6
 21	20	16.83	33	7
 22	18	9.54	107	5
 23	18	12.51	33	5
 24	23	9.27	1	6
 25	24	9.09	33	7
